,id,squad,year,players,age,possesion,matches_played,starts,min_playing_time,minutes_played_90s,goals,assists,non_penalty_goals,penalty_kicks_made,penalty_kicks_attempted,yellow_cards,red_cards,goals_per_90,assists_per_90,goals_plus_assists_per_90,goals_minus_penalty_kicks_per_90,goals_plus_assists_minus_penalty_kicks_per_90,continent
124,125,Brazil,1991,17,25.7,,3,33,240,2.7,1,0,1,0,0,,,0.37,0.0,0.37,0.37,0.37,Südamerika
4,5,Canada,2019,16,27.0,63.0,4,44,360,4.0,4,3,4,0,1,2.0,0.0,1.0,0.75,1.75,1.0,1.75,Nordamerika
23,24,USA,2019,21,28.8,56.0,7,77,630,7.0,25,17,22,3,4,0.0,0.0,3.57,2.43,6.0,3.14,5.57,Nordamerika
27,28,Canada,2015,18,27.2,55.0,5,55,450,5.0,4,1,3,1,1,3.0,0.0,0.8,0.2,1.0,0.6,0.8,Nordamerika
30,31,Costa Rica,2015,15,25.0,42.3,3,33,270,3.0,3,3,3,0,0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,Nordamerika
38,39,Mexico,2015,17,24.3,52.3,3,33,270,3.0,2,1,2,0,0,4.0,0.0,0.67,0.33,1.0,0.67,1.0,Nordamerika
47,48,USA,2015,20,28.4,52.9,7,77,630,7.0,14,7,12,2,2,2.0,0.0,2.0,1.0,3.0,1.71,2.71,Nordamerika
50,51,Canada,2011,19,25.9,47.3,3,33,270,3.0,1,0,1,0,0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,Nordamerika
58,59,Mexico,2011,18,23.1,47.7,3,33,270,3.0,3,3,3,0,0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,Nordamerika
63,64,USA,2011,18,28.3,50.5,6,66,600,6.7,12,9,12,0,0,0.0,0.0,1.8,1.35,3.15,1.8,3.15,Nordamerika
67,68,Canada,2007,18,23.8,39.3,3,33,270,3.0,7,3,7,0,0,,,2.33,1.0,3.33,2.33,3.33,Nordamerika
79,80,USA,2007,18,26.7,46.5,6,66,540,6.0,12,3,11,1,1,,,2.0,0.5,2.5,1.83,2.33,Nordamerika
83,84,Canada,2003,17,22.7,41.7,6,66,540,6.0,10,0,10,0,0,,,1.67,0.0,1.67,1.67,1.67,Nordamerika
95,96,USA,2003,18,28.1,52.8,6,66,540,6.0,15,4,15,0,0,,,2.5,0.67,3.17,2.5,3.17,Nordamerika
98,99,Canada,1999,15,25.9,,3,33,270,3.0,3,3,3,0,0,,,1.0,1.0,2.0,1.0,2.0,Nordamerika
106,107,Mexico,1999,15,21.5,,3,33,270,3.0,1,0,1,0,0,,,0.33,0.0,0.33,0.33,0.33,Nordamerika
111,112,USA,1999,18,27.4,,6,66,570,6.3,17,15,16,1,1,,,2.68,2.37,5.05,2.53,4.89,Nordamerika
114,115,Canada,1995,15,26.2,,3,33,270,3.0,5,0,5,0,0,,,1.67,0.0,1.67,1.67,1.67,Nordamerika
123,124,USA,1995,18,24.1,,6,66,540,6.0,15,4,15,0,0,,,2.5,0.67,3.17,2.5,3.17,Nordamerika
135,136,USA,1991,16,23.0,,6,66,480,5.3,25,11,24,1,1,,,4.69,2.06,6.75,4.5,6.56,Nordamerika
15,16,New Zealand,2019,17,27.6,39.3,3,33,270,3.0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Ozeanien
40,41,New Zealand,2015,15,24.9,46.7,3,33,270,3.0,2,2,2,0,0,4.0,0.0,0.67,0.67,1.33,0.67,1.33,Ozeanien
59,60,New Zealand,2011,16,24.4,45.7,3,33,270,3.0,4,3,4,0,0,0.0,0.0,1.33,1.0,2.33,1.33,2.33,Ozeanien
75,76,New Zealand,2007,18,24.5,39.7,3,33,270,3.0,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,Ozeanien
131,132,New Zealand,1991,15,25.5,,3,33,240,2.7,1,1,1,0,0,,,0.37,0.37,0.75,0.37,0.75,Ozeanien
11,12,Jamaica,2019,20,22.9,36.7,3,33,270,3.0,1,1,1,0,0,4.0,0.0,0.33,0.33,0.67,0.33,0.67,Afrika
16,17,Nigeria,2019,20,25.7,34.8,4,44,360,4.0,1,1,1,0,0,6.0,1.0,0.25,0.25,0.5,0.25,0.5,Afrika
19,20,South Africa,2019,19,27.5,38.0,3,33,270,3.0,1,1,1,0,0,7.0,1.0,0.33,0.33,0.67,0.33,0.67,Afrika
26,27,Cameroon,2015,17,25.1,48.8,4,44,360,4.0,9,5,5,4,4,6.0,0.0,2.25,1.25,3.5,1.25,2.5,Afrika
31,32,Côte d'Ivoire,2015,19,25.0,45.0,3,33,270,3.0,3,0,3,0,0,8.0,0.0,1.0,0.0,1.0,1.0,1.0,Afrika
41,42,Nigeria,2015,17,24.6,48.3,3,33,270,3.0,3,3,3,0,0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,Afrika
53,54,Equ. Guinea,2011,15,26.1,40.7,3,33,270,3.0,2,0,2,0,0,,,0.67,0.0,0.67,0.67,0.67,Afrika
60,61,Nigeria,2011,17,24.3,50.7,3,33,270,3.0,1,0,1,0,0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,Afrika
72,73,Ghana,2007,19,24.5,52.3,3,33,270,3.0,3,0,2,1,1,,,1.0,0.0,1.0,0.67,0.67,Afrika
76,77,Nigeria,2007,15,23.6,51.0,3,33,270,3.0,1,0,1,0,0,,,0.33,0.0,0.33,0.33,0.33,Afrika
87,88,Ghana,2003,15,25.4,47.7,3,33,270,3.0,2,0,2,0,0,,,0.67,0.0,0.67,0.67,0.67,Afrika
91,92,Nigeria,2003,16,24.7,51.3,3,33,270,3.0,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,Afrika
102,103,Ghana,1999,16,23.6,,3,33,270,3.0,1,0,1,0,0,,,0.33,0.0,0.33,0.33,0.33,Afrika
107,108,Nigeria,1999,16,23.5,,4,44,374,4.2,8,3,8,0,0,,,1.93,0.72,2.65,1.93,2.65,Afrika
120,121,Nigeria,1995,16,20.6,,3,33,270,3.0,5,0,5,0,0,,,1.67,0.0,1.67,1.67,1.67,Afrika
132,133,Nigeria,1991,17,18.2,,3,33,240,2.7,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,Afrika
6,7,China PR,2019,17,26.6,47.0,4,44,360,4.0,1,1,1,0,0,5.0,0.0,0.25,0.25,0.5,0.25,0.5,Asien
